# Parameter: shrinking_const
# Format: value	final_window_area	max_velocity_at_10	final_total_area
0.05	219.4848695958103	14.459124706208163	100.00000000000023
0.10	214.21576046366937	13.734001507146239	100.00000000000033
0.15	208.6904378609253	12.994998682287054	100.00000000000044
0.20	202.9063215881347	12.231126090102622	100.00000000000067
0.25	196.86387549012935	11.455380182997544	100.00000000000033
0.30	190.56723326728786	10.661359745688188	100.00000000000067
0.35	184.02502902341766	9.852482023157895	100.00000000000048
0.40	177.25047344451272	9.029325671497284	100.00000000000031
0.45	170.2607154650579	8.192313897438849	100.00000000000031
0.50	163.07482734365635	7.336086310776526	100.00000000000023
0.55	155.7126654748268	6.473596408366155	100.00000000000047
0.60	148.1925912389904	5.0128981794206044	100.00000000000044
0.65	140.53065026043961	4.201796907801537	100.00000000000047
0.70	132.74043315049508	3.382340981388938	100.00000000000028
0.75	124.83278802296056	2.560635906587623	100.00000000000054
0.80	116.8162807534489	1.7307852035326696	100.00000000000058
0.85	108.69689358266118	0.8902078325837105	100.00000000000038
0.90	100.4775557760335	0.05274920298203056	100.00000000000074
0.95	92.15269707403317	0.8075250749496051	100.00000000000043
1.00	83.65677524802749	1.66726980412287	100.00000000000043
