# Parameter: expansion_const
# Format: value	final_window_area	max_velocity_at_10
1.0	100.0	1.4802973661668753e-16
1.1	103.8250031954564	0.19575788206287598
1.2	107.7129820923044	0.38556730981214865
1.3	111.66231597342775	0.5955942571872304
1.4	115.67210912248795	0.794936829523957
1.5	119.74194459876462	1.0009792328414617
1.6	123.8713309842343	1.20559774673585
1.7	128.05995190491814	1.4139813310912699
1.8	132.30814464322194	1.6212345922392108
1.9	136.61603066255034	1.83137333586733
2.0	140.9849675661023	2.045503886947564
