# Parameter: push_out_force_strength
# Format: value	final_window_area	max_velocity_at_10	final_total_area
1.0	120.57778327597308	1.4080786825807308	100.00000000000074
1.2	124.99419910863465	1.6883935275788269	100.00000000000028
1.4	129.69300938155214	1.9694086975758889	100.00000000000063
1.6	135.81166973490758	2.071589703995992	100.18653795207322
1.8	147.5939751231897	2.33031752401571	105.00236023561003
2.0	158.32264763566877	2.589595099422819	113.86082493064991
2.2	164.05461227520414	2.848724596845722	115.33681830230434
2.4	168.76275542215572	3.107852687042229	116.38207919904072
2.6	173.1724313975942	3.366900687987781	117.1333327448789
2.8	177.59997612250814	3.627169405878798	117.83550322480536
3.0	182.2619604076172	3.8870263143956567	118.16542665598058
3.2	187.6914094159324	4.146581393960173	119.45241379475695
3.4	192.90691067739903	4.405893219988669	122.16037140662137
