# Parameter: expansion_const
# Format: value	final_window_area	max_velocity_at_10	final_total_area
1.00	100.0	1.807003620809174e-20	100.0
1.05	104.25629277869871	0.10337091381045148	100.00000000000071
1.10	108.5954086611941	0.20741641772926242	100.00000000000058
1.15	113.01240901897691	0.3124372111519822	100.00000000000028
1.20	117.50783763358805	0.4185159201398826	100.00000000000051
1.25	122.08280117160935	0.5266019285980227	100.00000000000047
1.30	126.73992612447485	0.576444412677382	100.0000000000006
1.35	131.4832814989192	0.6759038255266474	100.0000000000002
1.40	136.31750464041775	0.7760166014562381	100.0000000000002
1.45	140.0722535996539	0.8763444676505238	100.00000000000063
1.50	139.5914098189781	0.9791029453247839	100.00000000000044
1.55	140.77700457548684	1.0819034069877873	100.95404387756469
1.60	169.5490974336703	1.1869968995258857	110.88502458027278
1.65	171.48814655014013	1.292633896195925	113.12335442386508
1.70	179.2594853076582	1.5111752137388115	115.39492055365932
1.75	193.99355698464888	1.6250782319608024	119.86913697274532
