# Parameter: push_out_force_strength
# Format: value	final_window_area	max_velocity_at_10
1.0	118.50088768576484	0.7976453832687912
1.1	120.39228977792476	0.87781983753094
1.2	122.29217499723673	0.9579499245127123
1.3	124.20041586785085	1.0380881017025976
1.4	126.1176148147966	1.1181690943846292
1.5	128.04438730438014	1.1985294535857869
1.6	129.9806239530924	1.306253749323728
1.7	131.92682975424248	1.3878406750227692
1.8	133.88380674892733	1.4716054010514883
1.9	135.8519143521727	1.554441465545766
2.0	137.8319875006345	1.636851196996494
